# k     pk_smooth     pk_ratio
0.00148125 5414.07 0.00350037
0.00148929 5440.44 0.00354396
0.00149737 5466.92 0.00358785
0.0015055 5493.51 0.00363204
0.00151367 5520.22 0.00367651
0.00152189 5547.04 0.00372128
0.00153015 5573.97 0.00376635
0.00153845 5601.02 0.00381172
0.0015468 5628.18 0.00385739
0.00155519 5655.46 0.00390335
0.00156364 5682.85 0.00394962
0.00157212 5710.36 0.00399619
0.00158065 5737.99 0.00404307
0.00158923 5765.73 0.00409026
0.00159786 5793.59 0.00413775
0.00160653 5821.56 0.00418556
0.00161525 5849.66 0.00423368
0.00162402 5877.87 0.00428211
0.00163283 5906.2 0.00433087
0.00164169 5934.64 0.00437994
0.0016506 5963.21 0.00442933
0.00165956 5991.89 0.00447905
0.00166857 6020.69 0.0045291
0.00167762 6049.61 0.00457948
0.00168673 6078.65 0.00463018
0.00169588 6107.81 0.0046812
0.00170508 6137.09 0.00473255
0.00171434 6166.49 0.00478421
0.00172364 6196.01 0.0048362
0.001733 6225.65 0.0048885
0.0017424 6255.42 0.00494112
0.00175186 6285.3 0.00499405
0.00176137 6315.31 0.00504729
0.00177093 6345.43 0.00510085
0.00178054 6375.68 0.00515471
0.0017902 6406.05 0.00520889
0.00179992 6436.55 0.00526338
0.00180969 6467.16 0.00531817
0.00181951 6497.9 0.00537328
0.00182938 6528.76 0.00542869
0.00183931 6559.75 0.00548441
0.00184929 6590.86 0.00554044
0.00185933 6622.09 0.00559677
0.00186942 6653.45 0.00565342
0.00187957 6684.93 0.00571037
0.00188977 6716.54 0.00576763
0.00190002 6748.27 0.0058252
0.00191034 6780.13 0.00588307
0.0019207 6812.11 0.00594126
0.00193113 6844.21 0.00599976
0.00194161 6876.45 0.00605857
0.00195215 6908.8 0.00611769
0.00196274 6941.29 0.00617712
0.00197339 6973.9 0.00623687
0.0019841 7006.63 0.00629694
0.00199487 7039.5 0.00635732
0.0020057 7072.49 0.00641803
0.00201658 7105.6 0.00647905
0.00202753 7138.85 0.0065404
0.00203853 7172.22 0.00660207
0.0020496 7205.72 0.00666407
0.00206072 7239.34 0.0067264
